epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.175,1.60175,2.46937,1.30988,0.86536,0.76309,0.86211,0.4409,1.55045,1.28643,1.2426,0.003332,0.003332,0.003332
2,649.01,1.64004,1.50298,1.33568,0.82338,0.70574,0.7959,0.414,1.60044,1.21801,1.28083,0.00659934,0.00659934,0.00659934
3,1040.49,1.72849,1.49853,1.41421,0.7762,0.65835,0.73126,0.38226,1.68029,1.42464,1.36469,0.00980069,0.00980069,0.00980069
4,1375.22,1.7626,1.49313,1.45409,0.84025,0.72569,0.82966,0.43402,1.57273,1.1514,1.32513,0.009703,0.009703,0.009703
5,1688.75,1.69314,1.37815,1.41354,0.88541,0.78554,0.86549,0.47719,1.52078,1.0364,1.27209,0.009604,0.009604,0.009604
6,1968.14,1.64589,1.28583,1.37535,0.85758,0.79551,0.86476,0.50045,1.46916,1.033,1.24423,0.009505,0.009505,0.009505
7,2291.19,1.60626,1.22573,1.35633,0.91036,0.82294,0.89838,0.51817,1.42757,0.92199,1.23244,0.009406,0.009406,0.009406
8,2830.07,1.57883,1.18283,1.34046,0.92682,0.84289,0.91168,0.53284,1.4422,0.88705,1.21281,0.009307,0.009307,0.009307
9,3373.57,1.55212,1.13602,1.31736,0.92645,0.84809,0.9282,0.55039,1.39638,0.84547,1.20565,0.009208,0.009208,0.009208
10,3906.66,1.53306,1.10173,1.3017,0.94718,0.85037,0.9343,0.56254,1.36391,0.80945,1.16956,0.009109,0.009109,0.009109
11,4444.85,1.51034,1.06266,1.28442,0.89263,0.90274,0.93844,0.56989,1.34792,0.78825,1.16207,0.00901,0.00901,0.00901
12,4982.96,1.4959,1.04589,1.2836,0.9372,0.89027,0.9459,0.56467,1.33725,0.7734,1.14681,0.008911,0.008911,0.008911
13,5521.43,1.48792,1.0286,1.26939,0.93745,0.88529,0.94798,0.58678,1.32742,0.7227,1.13654,0.008812,0.008812,0.008812
14,6053.18,1.47585,1.00711,1.26281,0.93213,0.91521,0.95887,0.60351,1.28771,0.72101,1.12475,0.008713,0.008713,0.008713
15,6565.64,1.45654,0.98714,1.25363,0.95986,0.90025,0.95715,0.60624,1.27662,0.71784,1.12157,0.008614,0.008614,0.008614
16,7097.13,1.44661,0.97226,1.24699,0.96814,0.90947,0.96486,0.61371,1.27183,0.66576,1.10695,0.008515,0.008515,0.008515
17,7615.74,1.44507,0.95741,1.2445,0.9419,0.92992,0.96889,0.62157,1.24622,0.66222,1.09865,0.008416,0.008416,0.008416
18,8145.86,1.43021,0.94852,1.2296,0.95262,0.91771,0.96437,0.62519,1.23297,0.6626,1.08178,0.008317,0.008317,0.008317
19,8680.39,1.42192,0.94083,1.2252,0.96792,0.9202,0.96484,0.62442,1.24755,0.65159,1.09765,0.008218,0.008218,0.008218
20,9129.16,1.40389,0.90985,1.21846,0.95073,0.9202,0.9702,0.62814,1.25032,0.64408,1.09146,0.008119,0.008119,0.008119
21,9682.27,1.39947,0.90935,1.21462,0.95814,0.93017,0.9703,0.62279,1.23829,0.63166,1.10145,0.00802,0.00802,0.00802
22,10230.6,1.40241,0.91334,1.21878,0.9578,0.92519,0.96727,0.63346,1.2274,0.61927,1.08394,0.007921,0.007921,0.007921
23,10641.7,1.38838,0.89449,1.2054,0.9735,0.91626,0.97522,0.64122,1.20883,0.6159,1.06749,0.007822,0.007822,0.007822
24,10925.5,1.39024,0.88625,1.20575,0.9794,0.94015,0.97553,0.64333,1.21579,0.60571,1.07323,0.007723,0.007723,0.007723
25,11400.4,1.38394,0.88658,1.20993,0.97422,0.94252,0.97864,0.64612,1.21227,0.60259,1.07239,0.007624,0.007624,0.007624
26,11945.5,1.36908,0.86769,1.193,0.97404,0.93559,0.98025,0.65026,1.19437,0.59676,1.05777,0.007525,0.007525,0.007525
27,12482.1,1.3679,0.85948,1.19718,0.97162,0.95511,0.98168,0.65532,1.18357,0.58622,1.05808,0.007426,0.007426,0.007426
28,13027.2,1.36649,0.85794,1.19617,0.96738,0.96131,0.98264,0.65672,1.18516,0.57752,1.05019,0.007327,0.007327,0.007327
29,13570.9,1.35806,0.84765,1.18828,0.96811,0.9601,0.98088,0.66088,1.17993,0.56789,1.05398,0.007228,0.007228,0.007228
30,14108.7,1.34941,0.84373,1.18715,0.98331,0.95012,0.98425,0.66468,1.17683,0.56651,1.0526,0.007129,0.007129,0.007129
31,14648.1,1.35043,0.8429,1.18539,0.97709,0.95721,0.98525,0.66658,1.17315,0.55796,1.04967,0.00703,0.00703,0.00703
32,15159.6,1.34201,0.83419,1.17983,0.9718,0.94523,0.98374,0.668,1.15503,0.55838,1.03449,0.006931,0.006931,0.006931
33,15698.7,1.3362,0.82671,1.1766,0.97945,0.95077,0.9855,0.66639,1.15636,0.55689,1.03378,0.006832,0.006832,0.006832
34,16232.5,1.33645,0.81844,1.17251,0.98189,0.94667,0.98635,0.67207,1.14712,0.55438,1.02709,0.006733,0.006733,0.006733
35,16763,1.33264,0.81961,1.17273,0.97552,0.95761,0.9866,0.67283,1.14174,0.55173,1.02473,0.006634,0.006634,0.006634
36,17294,1.33053,0.81036,1.16835,0.97811,0.9601,0.98602,0.67531,1.13867,0.54798,1.02205,0.006535,0.006535,0.006535
37,420.661,1.30931,0.78637,1.16745,0.97847,0.96259,0.98767,0.67628,1.12914,0.54125,1.02011,0.006436,0.006436,0.006436
38,955.585,1.31713,0.7965,1.16739,0.97708,0.95691,0.98701,0.6767,1.12977,0.53668,1.02106,0.006337,0.006337,0.006337
39,1482.33,1.31304,0.79075,1.16723,0.97482,0.96531,0.98661,0.67646,1.12939,0.53517,1.02228,0.006238,0.006238,0.006238
40,2009.98,1.3113,0.79036,1.16508,0.97692,0.97007,0.98747,0.67716,1.12989,0.53236,1.02152,0.006139,0.006139,0.006139
41,2537.85,1.30956,0.78942,1.16608,0.98473,0.96512,0.98927,0.68212,1.12719,0.52993,1.01775,0.00604,0.00604,0.00604
42,3064.52,1.30148,0.78374,1.15493,0.98478,0.9681,0.98949,0.68164,1.12216,0.52386,1.01711,0.005941,0.005941,0.005941
43,3457.76,1.29199,0.76837,1.15011,0.98478,0.96818,0.98884,0.68259,1.12162,0.52221,1.01646,0.005842,0.005842,0.005842
44,3750.51,1.29435,0.77095,1.15807,0.98227,0.96704,0.98851,0.68465,1.12044,0.52116,1.01594,0.005743,0.005743,0.005743
45,4037.02,1.28908,0.76541,1.15371,0.97972,0.96363,0.98821,0.68399,1.11454,0.51783,1.01233,0.005644,0.005644,0.005644
46,4323.06,1.28624,0.75954,1.142,0.98222,0.96509,0.98716,0.6883,1.11162,0.51462,1.00992,0.005545,0.005545,0.005545
47,4609.29,1.27599,0.75347,1.14166,0.98417,0.96758,0.98727,0.69128,1.1084,0.51229,1.00606,0.005446,0.005446,0.005446
48,4886.22,1.27753,0.75676,1.14785,0.98373,0.96758,0.98759,0.68978,1.10545,0.51389,1.00463,0.005347,0.005347,0.005347
49,5163.51,1.27347,0.74934,1.14177,0.98382,0.96758,0.98773,0.69259,1.10468,0.51182,1.00437,0.005248,0.005248,0.005248
50,5441.03,1.27789,0.74117,1.13846,0.98475,0.96641,0.9877,0.69514,1.10396,0.50762,1.00328,0.005149,0.005149,0.005149
51,5717.42,1.26011,0.73465,1.13226,0.9809,0.96509,0.98927,0.69469,1.10268,0.50558,1.00257,0.00505,0.00505,0.00505
52,5993.55,1.25948,0.736,1.13427,0.98386,0.96509,0.98954,0.69349,1.10231,0.50379,1.00255,0.004951,0.004951,0.004951
53,6270.38,1.26468,0.7321,1.13726,0.98723,0.96393,0.98965,0.69425,1.10177,0.50338,1.00276,0.004852,0.004852,0.004852
54,6547.43,1.25297,0.72679,1.12667,0.98723,0.96419,0.98922,0.69492,1.10053,0.50065,1.00203,0.004753,0.004753,0.004753
55,6824.18,1.25188,0.73051,1.12674,0.98559,0.96259,0.98979,0.69537,1.09731,0.49959,1.00096,0.004654,0.004654,0.004654
56,7100.87,1.23944,0.71042,1.12015,0.98542,0.96259,0.98994,0.69496,1.0971,0.49917,1.00107,0.004555,0.004555,0.004555
57,7378.16,1.24084,0.71586,1.12312,0.98251,0.96259,0.98995,0.69503,1.09652,0.49786,1.00026,0.004456,0.004456,0.004456
58,7655.41,1.24239,0.71869,1.12514,0.98219,0.96284,0.99013,0.6957,1.09625,0.49822,0.99984,0.004357,0.004357,0.004357
59,7932.42,1.23455,0.70839,1.1189,0.9822,0.96312,0.99019,0.6981,1.0951,0.49733,0.99973,0.004258,0.004258,0.004258
60,8210.47,1.23077,0.70544,1.11687,0.9822,0.96328,0.98998,0.69984,1.09394,0.49745,0.99873,0.004159,0.004159,0.004159
61,8487.42,1.22786,0.70378,1.12216,0.98517,0.9601,0.98995,0.69906,1.09216,0.49722,0.99816,0.00406,0.00406,0.00406
62,8764.62,1.21793,0.6886,1.11122,0.98531,0.9601,0.99027,0.69802,1.09101,0.49536,0.99749,0.003961,0.003961,0.003961
63,9042.84,1.21829,0.69269,1.11207,0.98722,0.96331,0.99046,0.69995,1.08844,0.4939,0.9969,0.003862,0.003862,0.003862
64,9319.35,1.21606,0.68836,1.10906,0.98724,0.96503,0.9905,0.70116,1.08726,0.49188,0.99566,0.003763,0.003763,0.003763
65,9594.95,1.21556,0.68648,1.10668,0.98697,0.96758,0.99055,0.70134,1.08594,0.49062,0.99482,0.003664,0.003664,0.003664
66,9872.31,1.20119,0.67792,1.10515,0.98478,0.96814,0.99052,0.70292,1.08515,0.48928,0.99414,0.003565,0.003565,0.003565
67,10150.7,1.20549,0.67694,1.1061,0.98478,0.96809,0.99051,0.7037,1.08303,0.48936,0.99334,0.003466,0.003466,0.003466
68,10426.9,1.2021,0.67297,1.10431,0.9848,0.96916,0.99052,0.70314,1.08167,0.48827,0.99263,0.003367,0.003367,0.003367
69,10703.4,1.19534,0.67097,1.09605,0.98477,0.96775,0.99053,0.70429,1.08111,0.48698,0.99185,0.003268,0.003268,0.003268
70,10980.2,1.19961,0.66331,1.09665,0.98386,0.97007,0.99063,0.70573,1.07904,0.48589,0.99081,0.003169,0.003169,0.003169
71,11256.3,1.19995,0.66912,1.09998,0.98474,0.96758,0.99072,0.70638,1.07728,0.48454,0.98963,0.00307,0.00307,0.00307
72,11532.8,1.197,0.66173,1.09717,0.98442,0.96758,0.99069,0.70725,1.07616,0.48295,0.98828,0.002971,0.002971,0.002971
73,11810.1,1.19479,0.66106,1.10195,0.98477,0.96769,0.99068,0.70774,1.0749,0.48168,0.98736,0.002872,0.002872,0.002872
74,12086.2,1.1872,0.65408,1.09441,0.98477,0.96725,0.99069,0.70823,1.07323,0.48064,0.98653,0.002773,0.002773,0.002773
75,12366.5,1.17629,0.64431,1.08926,0.98479,0.96877,0.99066,0.70892,1.0702,0.47958,0.98508,0.002674,0.002674,0.002674
76,12644.5,1.18921,0.65419,1.09313,0.9843,0.97007,0.99068,0.70943,1.06829,0.47918,0.98379,0.002575,0.002575,0.002575
77,12920.5,1.18139,0.65044,1.09513,0.98339,0.97007,0.99055,0.71102,1.0655,0.47698,0.98268,0.002476,0.002476,0.002476
78,13196.8,1.16991,0.63698,1.08532,0.98324,0.97007,0.99049,0.71162,1.06347,0.47635,0.98118,0.002377,0.002377,0.002377
79,13475,1.17558,0.63563,1.08889,0.98449,0.97007,0.99042,0.71175,1.06205,0.47571,0.98017,0.002278,0.002278,0.002278
80,13752.1,1.17335,0.63824,1.08639,0.98428,0.97007,0.99048,0.71213,1.06005,0.4746,0.97909,0.002179,0.002179,0.002179
81,14028.6,1.16078,0.63512,1.08346,0.98404,0.97007,0.99049,0.71434,1.05777,0.47274,0.97798,0.00208,0.00208,0.00208
