epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15024.9,1.42022,0.91783,1.26648,0.92106,0.90202,0.94346,0.54587,1.38615,0.74613,1.23703,0.0011882,0.0011882,0.0011882
43,17104.6,1.37233,0.88687,1.25374,0.9388,0.88529,0.93875,0.54669,1.40289,0.75386,1.2285,0.0011684,0.0011684,0.0011684
44,19187.4,1.36295,0.88249,1.24373,0.95565,0.91347,0.94914,0.56108,1.40221,0.72459,1.227,0.0011486,0.0011486,0.0011486
45,21268.4,1.38338,0.89747,1.24271,0.9213,0.90505,0.93999,0.55246,1.39477,0.73731,1.23026,0.0011288,0.0011288,0.0011288
46,23347.6,1.34528,0.87189,1.23378,0.9475,0.90005,0.94114,0.56809,1.36815,0.74959,1.21986,0.001109,0.001109,0.001109
47,25428.4,1.36515,0.87933,1.249,0.92844,0.90598,0.95103,0.55794,1.39331,0.74569,1.22617,0.0010892,0.0010892,0.0010892
48,27509.2,1.35042,0.85063,1.21931,0.93088,0.89027,0.94621,0.56651,1.35954,0.74182,1.20611,0.0010694,0.0010694,0.0010694
49,29582,1.34762,0.85622,1.23636,0.90609,0.91521,0.94453,0.56715,1.38295,0.72969,1.21107,0.0010496,0.0010496,0.0010496
50,2083.06,1.27971,0.81797,1.20774,0.94427,0.92519,0.95284,0.57843,1.34324,0.72283,1.21147,0.0010298,0.0010298,0.0010298
51,4156.94,1.25834,0.78368,1.19363,0.93998,0.89027,0.94491,0.56222,1.35137,0.702,1.20184,0.00101,0.00101,0.00101
52,6226.72,1.25477,0.78529,1.17915,0.92258,0.89027,0.9426,0.57004,1.33748,0.71068,1.19007,0.0009902,0.0009902,0.0009902
53,8298.32,1.24465,0.76619,1.18783,0.93572,0.90755,0.95219,0.57857,1.33952,0.68853,1.17855,0.0009704,0.0009704,0.0009704
54,10371.5,1.24242,0.77086,1.18258,0.95011,0.90238,0.95494,0.57135,1.34995,0.71207,1.19333,0.0009506,0.0009506,0.0009506
55,12445,1.27269,0.77719,1.19003,0.9455,0.93017,0.95522,0.57668,1.33031,0.68688,1.18587,0.0009308,0.0009308,0.0009308
56,14523.6,1.28143,0.78376,1.19351,0.9209,0.93766,0.96049,0.58811,1.33094,0.67866,1.18507,0.000911,0.000911,0.000911
57,2252.79,1.18236,0.71855,1.14536,0.94977,0.92519,0.96737,0.59298,1.32768,0.6729,1.20454,0.0008912,0.0008912,0.0008912
58,4360.33,1.16284,0.69218,1.14505,0.93695,0.9265,0.95741,0.59636,1.32439,0.64047,1.19524,0.0008714,0.0008714,0.0008714
59,6426.12,1.15223,0.68822,1.13184,0.94025,0.90524,0.94947,0.58743,1.31414,0.67548,1.18739,0.0008516,0.0008516,0.0008516
60,8501.86,1.1419,0.67989,1.13304,0.94176,0.92748,0.9598,0.58991,1.32857,0.64124,1.17527,0.0008318,0.0008318,0.0008318
61,10570.4,1.14941,0.69563,1.13192,0.9502,0.90399,0.95155,0.59246,1.32065,0.65194,1.18252,0.000812,0.000812,0.000812
62,12658.7,1.16291,0.68831,1.13721,0.94831,0.90524,0.95309,0.59213,1.317,0.65268,1.16506,0.0007922,0.0007922,0.0007922
63,2402.48,1.09055,0.64744,1.10393,0.93281,0.93516,0.95932,0.59391,1.3228,0.64877,1.20887,0.0007724,0.0007724,0.0007724
64,4467.82,1.07614,0.62276,1.10169,0.9482,0.91291,0.95269,0.59082,1.32392,0.661,1.18878,0.0007526,0.0007526,0.0007526
65,6538.11,1.07333,0.63008,1.09296,0.93347,0.90974,0.94801,0.5999,1.30464,0.65022,1.18898,0.0007328,0.0007328,0.0007328
66,9218.79,1.07151,0.61758,1.09858,0.93316,0.93267,0.95519,0.60058,1.31381,0.63638,1.20172,0.000713,0.000713,0.000713
67,11292.3,1.06376,0.62896,1.09156,0.94922,0.93229,0.954,0.59555,1.33193,0.63528,1.1924,0.0006932,0.0006932,0.0006932
68,13354.9,1.07157,0.62697,1.09431,0.95308,0.92269,0.95715,0.59397,1.32098,0.62304,1.17983,0.0006734,0.0006734,0.0006734
69,15424.9,1.17636,0.68952,1.13993,0.93249,0.92998,0.95763,0.59949,1.31256,0.63587,1.18533,0.0006536,0.0006536,0.0006536
70,17488.5,1.202,0.7065,1.15972,0.93662,0.92269,0.95713,0.59948,1.29068,0.62504,1.16841,0.0006338,0.0006338,0.0006338
71,19556.6,1.18385,0.69924,1.15597,0.94489,0.94058,0.95886,0.61255,1.2861,0.61194,1.16588,0.000614,0.000614,0.000614
72,2117.51,1.00737,0.5992,1.06112,0.95188,0.93719,0.96346,0.60931,1.30328,0.61618,1.18116,0.0005942,0.0005942,0.0005942
73,4340.79,1.00234,0.5727,1.06357,0.9484,0.93516,0.95908,0.60675,1.29696,0.6094,1.18738,0.0005744,0.0005744,0.0005744
74,6428.86,1.01192,0.57838,1.06134,0.94358,0.91748,0.9552,0.60044,1.31328,0.61188,1.19021,0.0005546,0.0005546,0.0005546
75,9928.37,0.98901,0.56669,1.05889,0.95631,0.91521,0.95794,0.61772,1.28991,0.59652,1.18286,0.0005348,0.0005348,0.0005348
76,16070.2,0.9742,0.56717,1.05113,0.93332,0.94241,0.955,0.60487,1.29521,0.58847,1.18251,0.000515,0.000515,0.000515
77,19833.8,0.99,0.56993,1.05629,0.96393,0.90773,0.95681,0.60814,1.29087,0.60869,1.17739,0.0004952,0.0004952,0.0004952
78,22045.8,1.0486,0.59869,1.07764,0.95109,0.92128,0.96014,0.61308,1.28641,0.59901,1.16888,0.0004754,0.0004754,0.0004754
79,24123.4,1.06906,0.60966,1.0941,0.91776,0.94616,0.96004,0.59573,1.30648,0.59631,1.17003,0.0004556,0.0004556,0.0004556
80,26197.3,1.06362,0.61272,1.09415,0.95154,0.94015,0.96679,0.61152,1.28668,0.59069,1.17202,0.0004358,0.0004358,0.0004358
81,28284.3,1.18421,0.68437,1.14179,0.95497,0.92768,0.964,0.6143,1.27915,0.58297,1.16456,0.000416,0.000416,0.000416
82,2101.91,0.92142,0.53494,1.02296,0.93547,0.93989,0.95767,0.61489,1.28865,0.5793,1.17979,0.0003962,0.0003962,0.0003962
83,4181.03,0.93025,0.51566,1.0276,0.94026,0.94264,0.96102,0.61059,1.28394,0.59174,1.19044,0.0003764,0.0003764,0.0003764
84,6249.6,0.92767,0.52112,1.0219,0.9535,0.93516,0.95777,0.61413,1.29099,0.58044,1.19205,0.0003566,0.0003566,0.0003566
85,8318.28,0.90727,0.50939,1.02012,0.95609,0.94015,0.96123,0.61764,1.28498,0.57427,1.19358,0.0003368,0.0003368,0.0003368
86,2084.1,0.84974,0.48635,0.98753,0.95682,0.93931,0.96049,0.61504,1.29151,0.57912,1.20432,0.000317,0.000317,0.000317
87,4159.02,0.84491,0.47243,0.99099,0.95976,0.93516,0.96291,0.61766,1.27999,0.57823,1.20206,0.0002972,0.0002972,0.0002972
88,6238.46,0.83913,0.47688,0.98561,0.95721,0.93267,0.95939,0.61267,1.28995,0.57801,1.21072,0.0002774,0.0002774,0.0002774
89,8316.7,0.82801,0.46688,0.98734,0.96384,0.93069,0.9599,0.61684,1.28877,0.58187,1.18587,0.0002576,0.0002576,0.0002576
90,10412.3,0.8896,0.50325,1.01129,0.933,0.93766,0.96103,0.61348,1.28019,0.57547,1.19161,0.0002378,0.0002378,0.0002378
91,12480.6,1.17573,0.55592,1.09682,0.93536,0.93822,0.95716,0.60898,1.27411,0.58214,1.18177,0.000218,0.000218,0.000218
92,14543.7,1.15511,0.54443,1.07617,0.94758,0.93017,0.95959,0.61261,1.25367,0.57942,1.15875,0.0001982,0.0001982,0.0001982
93,16606.4,1.13012,0.53557,1.06617,0.94928,0.93348,0.95398,0.61563,1.25162,0.56685,1.15196,0.0001784,0.0001784,0.0001784
94,18672.2,1.11981,0.54022,1.06697,0.95668,0.93629,0.96565,0.61824,1.25514,0.56794,1.14437,0.0001586,0.0001586,0.0001586
95,20734.5,1.11912,0.53261,1.06916,0.95417,0.94264,0.9683,0.62077,1.25674,0.56101,1.15763,0.0001388,0.0001388,0.0001388
96,22801.9,1.12016,0.51991,1.0697,0.96482,0.93766,0.96458,0.61819,1.2483,0.56197,1.14645,0.000119,0.000119,0.000119
97,24869.4,1.09663,0.52317,1.05035,0.95985,0.93766,0.96454,0.62181,1.24502,0.55928,1.15157,9.92e-05,9.92e-05,9.92e-05
98,26948,1.09533,0.52266,1.05613,0.95409,0.93285,0.96687,0.62201,1.25616,0.56253,1.1532,7.94e-05,7.94e-05,7.94e-05
99,29014.4,1.08748,0.50752,1.04621,0.94907,0.93766,0.96603,0.62159,1.25509,0.55888,1.15283,5.96e-05,5.96e-05,5.96e-05
100,31080,1.08418,0.51365,1.04909,0.94703,0.94015,0.96575,0.6212,1.24469,0.55411,1.14702,3.98e-05,3.98e-05,3.98e-05
